circuitId,url,circuitName,Location
adelaide,https://en.wikipedia.org/wiki/Adelaide_Street_Circuit,Adelaide Street Circuit,"{'lat': '-34.9272', 'long': '138.617', 'locality': 'Adelaide', 'country': 'Australia'}"
ain-diab,https://en.wikipedia.org/wiki/Ain-Diab_Circuit,Ain Diab,"{'lat': '33.5786', 'long': '-7.6875', 'locality': 'Casablanca', 'country': 'Morocco'}"
aintree,https://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,Aintree,"{'lat': '53.4769', 'long': '-2.94056', 'locality': 'Liverpool', 'country': 'UK'}"
albert_park,https://en.wikipedia.org/wiki/Albert_Park_Circuit,Albert Park Grand Prix Circuit,"{'lat': '-37.8497', 'long': '144.968', 'locality': 'Melbourne', 'country': 'Australia'}"
americas,https://en.wikipedia.org/wiki/Circuit_of_the_Americas,Circuit of the Americas,"{'lat': '30.1328', 'long': '-97.6411', 'locality': 'Austin', 'country': 'USA'}"
anderstorp,https://en.wikipedia.org/wiki/Anderstorp_Raceway,Scandinavian Raceway,"{'lat': '57.265299999999975', 'long': '13.6042', 'locality': 'Anderstorp', 'country': 'Sweden'}"
avus,https://en.wikipedia.org/wiki/AVUS,AVUS,"{'lat': '52.4806', 'long': '13.2514', 'locality': 'Berlin', 'country': 'Germany'}"
bahrain,https://en.wikipedia.org/wiki/Bahrain_International_Circuit,Bahrain International Circuit,"{'lat': '26.0325', 'long': '50.5106', 'locality': 'Sakhir', 'country': 'Bahrain'}"
baku,https://en.wikipedia.org/wiki/Baku_City_Circuit,Baku City Circuit,"{'lat': '40.3725', 'long': '49.8533', 'locality': 'Baku', 'country': 'Azerbaijan'}"
boavista,https://en.wikipedia.org/wiki/Circuito_da_Boavista,Circuito da Boavista,"{'lat': '41.1705', 'long': '-8.67325', 'locality': 'Oporto', 'country': 'Portugal'}"
brands_hatch,https://en.wikipedia.org/wiki/Brands_Hatch,Brands Hatch,"{'lat': '51.3569', 'long': '0.263056', 'locality': 'Kent', 'country': 'UK'}"
bremgarten,https://en.wikipedia.org/wiki/Circuit_Bremgarten,Circuit Bremgarten,"{'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}"
buddh,https://en.wikipedia.org/wiki/Buddh_International_Circuit,Buddh International Circuit,"{'lat': '28.3487', 'long': '77.5331', 'locality': 'Uttar Pradesh', 'country': 'India'}"
catalunya,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Circuit de Barcelona-Catalunya,"{'lat': '41.57', 'long': '2.26111', 'locality': 'Montmeló', 'country': 'Spain'}"
charade,https://en.wikipedia.org/wiki/Circuit_de_Charade,Charade Circuit,"{'lat': '45.747199999999985', 'long': '3.03889', 'locality': 'Clermont-Ferrand', 'country': 'France'}"
dallas,https://en.wikipedia.org/wiki/Fair_Park,Fair Park,"{'lat': '32.7774', 'long': '-96.7587', 'locality': 'Dallas', 'country': 'USA'}"
detroit,https://en.wikipedia.org/wiki/Detroit_street_circuit,Detroit Street Circuit,"{'lat': '42.3298', 'long': '-83.0401', 'locality': 'Detroit', 'country': 'USA'}"
dijon,https://en.wikipedia.org/wiki/Dijon-Prenois,Dijon-Prenois,"{'lat': '47.3625', 'long': '4.89913', 'locality': 'Dijon', 'country': 'France'}"
donington,https://en.wikipedia.org/wiki/Donington_Park,Donington Park,"{'lat': '52.8306', 'long': '-1.37528', 'locality': 'Castle Donington', 'country': 'UK'}"
essarts,https://en.wikipedia.org/wiki/Rouen-Les-Essarts,Rouen-Les-Essarts,"{'lat': '49.3306', 'long': '1.00458', 'locality': 'Rouen', 'country': 'France'}"
estoril,https://en.wikipedia.org/wiki/Circuito_do_Estoril,Autódromo do Estoril,"{'lat': '38.750600000000006', 'long': '-9.394169999999999', 'locality': 'Estoril', 'country': 'Portugal'}"
fuji,https://en.wikipedia.org/wiki/Fuji_Speedway,Fuji Speedway,"{'lat': '35.3717', 'long': '138.927', 'locality': 'Oyama', 'country': 'Japan'}"
galvez,https://en.wikipedia.org/wiki/Autódromo_Oscar_y_Juan_Gálvez,Autódromo Juan y Oscar Gálvez,"{'lat': '-34.69430000000001', 'long': '-58.45929999999999', 'locality': 'Buenos Aires', 'country': 'Argentina'}"
george,https://en.wikipedia.org/wiki/Prince_George_Circuit,Prince George Circuit,"{'lat': '-33.0486', 'long': '27.8736', 'locality': 'Eastern Cape Province', 'country': 'South Africa'}"
hockenheimring,https://en.wikipedia.org/wiki/Hockenheimring,Hockenheimring,"{'lat': '49.3278', 'long': '8.56583', 'locality': 'Hockenheim', 'country': 'Germany'}"
hungaroring,https://en.wikipedia.org/wiki/Hungaroring,Hungaroring,"{'lat': '47.5789', 'long': '19.2486', 'locality': 'Budapest', 'country': 'Hungary'}"
imola,https://en.wikipedia.org/wiki/Imola_Circuit,Autodromo Enzo e Dino Ferrari,"{'lat': '44.343899999999984', 'long': '11.7167', 'locality': 'Imola', 'country': 'Italy'}"
indianapolis,https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,Indianapolis Motor Speedway,"{'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}"
interlagos,https://en.wikipedia.org/wiki/Interlagos_Circuit,Autódromo José Carlos Pace,"{'lat': '-23.7036', 'long': '-46.69969999999999', 'locality': 'São Paulo', 'country': 'Brazil'}"
istanbul,https://en.wikipedia.org/wiki/Istanbul_Park,Istanbul Park,"{'lat': '40.9517', 'long': '29.405', 'locality': 'Istanbul', 'country': 'Turkey'}"
