constructorId,url,name,nationality
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
lotus_f1,http://en.wikipedia.org/wiki/Lotus_F1,Lotus F1,British
manor,http://en.wikipedia.org/wiki/Manor_Motorsport,Manor Marussia,British
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
