season,round,url,raceName,Circuit,date,time
2005,1,https://en.wikipedia.org/wiki/2005_Australian_Grand_Prix,Australian Grand Prix,"{'circuitId': 'albert_park', 'url': 'https://en.wikipedia.org/wiki/Albert_Park_Circuit', 'circuitName': 'Albert Park Grand Prix Circuit', 'Location': {'lat': '-37.8497', 'long': '144.968', 'locality': 'Melbourne', 'country': 'Australia'}}",2005-03-06,14:00:00Z
2005,2,https://en.wikipedia.org/wiki/2005_Malaysian_Grand_Prix,Malaysian Grand Prix,"{'circuitId': 'sepang', 'url': 'https://en.wikipedia.org/wiki/Sepang_International_Circuit', 'circuitName': 'Sepang International Circuit', 'Location': {'lat': '2.76083', 'long': '101.738', 'locality': 'Kuala Lumpur', 'country': 'Malaysia'}}",2005-03-20,15:00:00Z
2005,3,https://en.wikipedia.org/wiki/2005_Bahrain_Grand_Prix,Bahrain Grand Prix,"{'circuitId': 'bahrain', 'url': 'https://en.wikipedia.org/wiki/Bahrain_International_Circuit', 'circuitName': 'Bahrain International Circuit', 'Location': {'lat': '26.0325', 'long': '50.5106', 'locality': 'Sakhir', 'country': 'Bahrain'}}",2005-04-03,14:30:00Z
2005,4,https://en.wikipedia.org/wiki/2005_San_Marino_Grand_Prix,San Marino Grand Prix,"{'circuitId': 'imola', 'url': 'https://en.wikipedia.org/wiki/Imola_Circuit', 'circuitName': 'Autodromo Enzo e Dino Ferrari', 'Location': {'lat': '44.343899999999984', 'long': '11.7167', 'locality': 'Imola', 'country': 'Italy'}}",2005-04-24,14:00:00Z
2005,5,https://en.wikipedia.org/wiki/2005_Spanish_Grand_Prix,Spanish Grand Prix,"{'circuitId': 'catalunya', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya', 'circuitName': 'Circuit de Barcelona-Catalunya', 'Location': {'lat': '41.57', 'long': '2.26111', 'locality': 'Montmeló', 'country': 'Spain'}}",2005-05-08,14:00:00Z
2005,6,https://en.wikipedia.org/wiki/2005_Monaco_Grand_Prix,Monaco Grand Prix,"{'circuitId': 'monaco', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Monaco', 'circuitName': 'Circuit de Monaco', 'Location': {'lat': '43.7347', 'long': '7.42056', 'locality': 'Monte-Carlo', 'country': 'Monaco'}}",2005-05-22,14:00:00Z
2005,7,https://en.wikipedia.org/wiki/2005_European_Grand_Prix,European Grand Prix,"{'circuitId': 'nurburgring', 'url': 'https://en.wikipedia.org/wiki/N%C3%BCrburgring', 'circuitName': 'Nürburgring', 'Location': {'lat': '50.3356', 'long': '6.9475', 'locality': 'Nürburg', 'country': 'Germany'}}",2005-05-29,14:00:00Z
2005,8,https://en.wikipedia.org/wiki/2005_Canadian_Grand_Prix,Canadian Grand Prix,"{'circuitId': 'villeneuve', 'url': 'https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve', 'circuitName': 'Circuit Gilles Villeneuve', 'Location': {'lat': '45.5', 'long': '-73.5228', 'locality': 'Montreal', 'country': 'Canada'}}",2005-06-12,13:00:00Z
2005,9,https://en.wikipedia.org/wiki/2005_United_States_Grand_Prix,United States Grand Prix,"{'circuitId': 'indianapolis', 'url': 'https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway', 'circuitName': 'Indianapolis Motor Speedway', 'Location': {'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}}",2005-06-19,14:00:00Z
2005,10,https://en.wikipedia.org/wiki/2005_French_Grand_Prix,French Grand Prix,"{'circuitId': 'magny_cours', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours', 'circuitName': 'Circuit de Nevers Magny-Cours', 'Location': {'lat': '46.8642', 'long': '3.16361', 'locality': 'Magny Cours', 'country': 'France'}}",2005-07-03,14:00:00Z
