season,round,url,raceName,Circuit,date,time,FirstPractice,SecondPractice,ThirdPractice,Qualifying
2016,1,https://en.wikipedia.org/wiki/2016_Australian_Grand_Prix,Australian Grand Prix,"{'circuitId': 'albert_park', 'url': 'https://en.wikipedia.org/wiki/Albert_Park_Circuit', 'circuitName': 'Albert Park Grand Prix Circuit', 'Location': {'lat': '-37.8497', 'long': '144.968', 'locality': 'Melbourne', 'country': 'Australia'}}",2016-03-20,05:00:00Z,{'date': '2016-03-18'},{'date': '2016-03-18'},{'date': '2016-03-19'},{'date': '2016-03-19'}
2016,2,https://en.wikipedia.org/wiki/2016_Bahrain_Grand_Prix,Bahrain Grand Prix,"{'circuitId': 'bahrain', 'url': 'https://en.wikipedia.org/wiki/Bahrain_International_Circuit', 'circuitName': 'Bahrain International Circuit', 'Location': {'lat': '26.0325', 'long': '50.5106', 'locality': 'Sakhir', 'country': 'Bahrain'}}",2016-04-03,15:00:00Z,{'date': '2016-04-01'},{'date': '2016-04-01'},{'date': '2016-04-02'},{'date': '2016-04-02'}
2016,3,https://en.wikipedia.org/wiki/2016_Chinese_Grand_Prix,Chinese Grand Prix,"{'circuitId': 'shanghai', 'url': 'https://en.wikipedia.org/wiki/Shanghai_International_Circuit', 'circuitName': 'Shanghai International Circuit', 'Location': {'lat': '31.3389', 'long': '121.22', 'locality': 'Shanghai', 'country': 'China'}}",2016-04-17,06:00:00Z,{'date': '2016-04-15'},{'date': '2016-04-15'},{'date': '2016-04-16'},{'date': '2016-04-16'}
2016,4,https://en.wikipedia.org/wiki/2016_Russian_Grand_Prix,Russian Grand Prix,"{'circuitId': 'sochi', 'url': 'https://en.wikipedia.org/wiki/Sochi_Autodrom', 'circuitName': 'Sochi Autodrom', 'Location': {'lat': '43.4057', 'long': '39.9578', 'locality': 'Sochi', 'country': 'Russia'}}",2016-05-01,12:00:00Z,{'date': '2016-04-29'},{'date': '2016-04-29'},{'date': '2016-04-30'},{'date': '2016-04-30'}
2016,5,https://en.wikipedia.org/wiki/2016_Spanish_Grand_Prix,Spanish Grand Prix,"{'circuitId': 'catalunya', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya', 'circuitName': 'Circuit de Barcelona-Catalunya', 'Location': {'lat': '41.57', 'long': '2.26111', 'locality': 'Montmeló', 'country': 'Spain'}}",2016-05-15,12:00:00Z,{'date': '2016-05-13'},{'date': '2016-05-13'},{'date': '2016-05-14'},{'date': '2016-05-14'}
2016,6,https://en.wikipedia.org/wiki/2016_Monaco_Grand_Prix,Monaco Grand Prix,"{'circuitId': 'monaco', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Monaco', 'circuitName': 'Circuit de Monaco', 'Location': {'lat': '43.7347', 'long': '7.42056', 'locality': 'Monte-Carlo', 'country': 'Monaco'}}",2016-05-29,12:00:00Z,{'date': '2016-05-26'},{'date': '2016-05-26'},{'date': '2016-05-28'},{'date': '2016-05-28'}
2016,7,https://en.wikipedia.org/wiki/2016_Canadian_Grand_Prix,Canadian Grand Prix,"{'circuitId': 'villeneuve', 'url': 'https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve', 'circuitName': 'Circuit Gilles Villeneuve', 'Location': {'lat': '45.5', 'long': '-73.5228', 'locality': 'Montreal', 'country': 'Canada'}}",2016-06-12,18:00:00Z,{'date': '2016-06-10'},{'date': '2016-06-10'},{'date': '2016-06-11'},{'date': '2016-06-11'}
2016,8,https://en.wikipedia.org/wiki/2016_European_Grand_Prix,European Grand Prix,"{'circuitId': 'baku', 'url': 'https://en.wikipedia.org/wiki/Baku_City_Circuit', 'circuitName': 'Baku City Circuit', 'Location': {'lat': '40.3725', 'long': '49.8533', 'locality': 'Baku', 'country': 'Azerbaijan'}}",2016-06-19,13:00:00Z,{'date': '2016-06-17'},{'date': '2016-06-17'},{'date': '2016-06-18'},{'date': '2016-06-18'}
2016,9,https://en.wikipedia.org/wiki/2016_Austrian_Grand_Prix,Austrian Grand Prix,"{'circuitId': 'red_bull_ring', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Ring', 'circuitName': 'Red Bull Ring', 'Location': {'lat': '47.2197', 'long': '14.7647', 'locality': 'Spielberg', 'country': 'Austria'}}",2016-07-03,12:00:00Z,{'date': '2016-07-01'},{'date': '2016-07-01'},{'date': '2016-07-02'},{'date': '2016-07-02'}
2016,10,https://en.wikipedia.org/wiki/2016_British_Grand_Prix,British Grand Prix,"{'circuitId': 'silverstone', 'url': 'https://en.wikipedia.org/wiki/Silverstone_Circuit', 'circuitName': 'Silverstone Circuit', 'Location': {'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}}",2016-07-10,12:00:00Z,{'date': '2016-07-08'},{'date': '2016-07-08'},{'date': '2016-07-09'},{'date': '2016-07-09'}
