season,round,url,raceName,Circuit,date,time,FirstPractice,SecondPractice,ThirdPractice,Qualifying,Sprint,SprintQualifying
2024,1,https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix,Bahrain Grand Prix,"{'circuitId': 'bahrain', 'url': 'https://en.wikipedia.org/wiki/Bahrain_International_Circuit', 'circuitName': 'Bahrain International Circuit', 'Location': {'lat': '26.0325', 'long': '50.5106', 'locality': 'Sakhir', 'country': 'Bahrain'}}",2024-03-02,15:00:00Z,"{'date': '2024-02-29', 'time': '11:30:00Z'}","{'date': '2024-02-29', 'time': '15:00:00Z'}","{'date': '2024-03-01', 'time': '12:30:00Z'}","{'date': '2024-03-01', 'time': '16:00:00Z'}",,
2024,2,https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix,Saudi Arabian Grand Prix,"{'circuitId': 'jeddah', 'url': 'https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit', 'circuitName': 'Jeddah Corniche Circuit', 'Location': {'lat': '21.631899999999998', 'long': '39.1044', 'locality': 'Jeddah', 'country': 'Saudi Arabia'}}",2024-03-09,17:00:00Z,"{'date': '2024-03-07', 'time': '13:30:00Z'}","{'date': '2024-03-07', 'time': '17:00:00Z'}","{'date': '2024-03-08', 'time': '13:30:00Z'}","{'date': '2024-03-08', 'time': '17:00:00Z'}",,
2024,3,https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix,Australian Grand Prix,"{'circuitId': 'albert_park', 'url': 'https://en.wikipedia.org/wiki/Albert_Park_Circuit', 'circuitName': 'Albert Park Grand Prix Circuit', 'Location': {'lat': '-37.8497', 'long': '144.968', 'locality': 'Melbourne', 'country': 'Australia'}}",2024-03-24,04:00:00Z,"{'date': '2024-03-22', 'time': '01:30:00Z'}","{'date': '2024-03-22', 'time': '05:00:00Z'}","{'date': '2024-03-23', 'time': '01:30:00Z'}","{'date': '2024-03-23', 'time': '05:00:00Z'}",,
2024,4,https://en.wikipedia.org/wiki/2024_Japanese_Grand_Prix,Japanese Grand Prix,"{'circuitId': 'suzuka', 'url': 'https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course', 'circuitName': 'Suzuka Circuit', 'Location': {'lat': '34.843100000000014', 'long': '136.541', 'locality': 'Suzuka', 'country': 'Japan'}}",2024-04-07,05:00:00Z,"{'date': '2024-04-05', 'time': '02:30:00Z'}","{'date': '2024-04-05', 'time': '06:00:00Z'}","{'date': '2024-04-06', 'time': '02:30:00Z'}","{'date': '2024-04-06', 'time': '06:00:00Z'}",,
2024,5,https://en.wikipedia.org/wiki/2024_Chinese_Grand_Prix,Chinese Grand Prix,"{'circuitId': 'shanghai', 'url': 'https://en.wikipedia.org/wiki/Shanghai_International_Circuit', 'circuitName': 'Shanghai International Circuit', 'Location': {'lat': '31.3389', 'long': '121.22', 'locality': 'Shanghai', 'country': 'China'}}",2024-04-21,07:00:00Z,"{'date': '2024-04-19', 'time': '03:30:00Z'}",,,"{'date': '2024-04-20', 'time': '07:00:00Z'}","{'date': '2024-04-20', 'time': '03:00:00Z'}","{'date': '2024-04-19', 'time': '07:30:00Z'}"
2024,6,https://en.wikipedia.org/wiki/2024_Miami_Grand_Prix,Miami Grand Prix,"{'circuitId': 'miami', 'url': 'https://en.wikipedia.org/wiki/Miami_International_Autodrome', 'circuitName': 'Miami International Autodrome', 'Location': {'lat': '25.9581', 'long': '-80.2389', 'locality': 'Miami', 'country': 'USA'}}",2024-05-05,20:00:00Z,"{'date': '2024-05-03', 'time': '16:30:00Z'}",,,"{'date': '2024-05-04', 'time': '20:00:00Z'}","{'date': '2024-05-04', 'time': '16:00:00Z'}","{'date': '2024-05-03', 'time': '20:30:00Z'}"
2024,7,https://en.wikipedia.org/wiki/2024_Emilia_Romagna_Grand_Prix,Emilia Romagna Grand Prix,"{'circuitId': 'imola', 'url': 'https://en.wikipedia.org/wiki/Imola_Circuit', 'circuitName': 'Autodromo Enzo e Dino Ferrari', 'Location': {'lat': '44.343899999999984', 'long': '11.7167', 'locality': 'Imola', 'country': 'Italy'}}",2024-05-19,13:00:00Z,"{'date': '2024-05-17', 'time': '11:30:00Z'}","{'date': '2024-05-17', 'time': '15:00:00Z'}","{'date': '2024-05-18', 'time': '10:30:00Z'}","{'date': '2024-05-18', 'time': '14:00:00Z'}",,
2024,8,https://en.wikipedia.org/wiki/2024_Monaco_Grand_Prix,Monaco Grand Prix,"{'circuitId': 'monaco', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Monaco', 'circuitName': 'Circuit de Monaco', 'Location': {'lat': '43.7347', 'long': '7.42056', 'locality': 'Monte-Carlo', 'country': 'Monaco'}}",2024-05-26,13:00:00Z,"{'date': '2024-05-24', 'time': '11:30:00Z'}","{'date': '2024-05-24', 'time': '15:00:00Z'}","{'date': '2024-05-25', 'time': '10:30:00Z'}","{'date': '2024-05-25', 'time': '14:00:00Z'}",,
2024,9,https://en.wikipedia.org/wiki/2024_Canadian_Grand_Prix,Canadian Grand Prix,"{'circuitId': 'villeneuve', 'url': 'https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve', 'circuitName': 'Circuit Gilles Villeneuve', 'Location': {'lat': '45.5', 'long': '-73.5228', 'locality': 'Montreal', 'country': 'Canada'}}",2024-06-09,18:00:00Z,"{'date': '2024-06-07', 'time': '17:30:00Z'}","{'date': '2024-06-07', 'time': '21:00:00Z'}","{'date': '2024-06-08', 'time': '16:30:00Z'}","{'date': '2024-06-08', 'time': '20:00:00Z'}",,
2024,10,https://en.wikipedia.org/wiki/2024_Spanish_Grand_Prix,Spanish Grand Prix,"{'circuitId': 'catalunya', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya', 'circuitName': 'Circuit de Barcelona-Catalunya', 'Location': {'lat': '41.57', 'long': '2.26111', 'locality': 'Montmeló', 'country': 'Spain'}}",2024-06-23,13:00:00Z,"{'date': '2024-06-21', 'time': '11:30:00Z'}","{'date': '2024-06-21', 'time': '15:00:00Z'}","{'date': '2024-06-22', 'time': '10:30:00Z'}","{'date': '2024-06-22', 'time': '14:00:00Z'}",,
