season,round,url,raceName,Circuit,date,time,FirstPractice,SecondPractice,ThirdPractice,Qualifying,Sprint
2022,1,https://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix,Bahrain Grand Prix,"{'circuitId': 'bahrain', 'url': 'https://en.wikipedia.org/wiki/Bahrain_International_Circuit', 'circuitName': 'Bahrain International Circuit', 'Location': {'lat': '26.0325', 'long': '50.5106', 'locality': 'Sakhir', 'country': 'Bahrain'}}",2022-03-20,15:00:00Z,"{'date': '2022-03-18', 'time': '12:00:00Z'}","{'date': '2022-03-18', 'time': '15:00:00Z'}","{'date': '2022-03-19', 'time': '12:00:00Z'}","{'date': '2022-03-19', 'time': '15:00:00Z'}",
2022,2,https://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix,Saudi Arabian Grand Prix,"{'circuitId': 'jeddah', 'url': 'https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit', 'circuitName': 'Jeddah Corniche Circuit', 'Location': {'lat': '21.631899999999998', 'long': '39.1044', 'locality': 'Jeddah', 'country': 'Saudi Arabia'}}",2022-03-27,17:00:00Z,"{'date': '2022-03-25', 'time': '14:00:00Z'}","{'date': '2022-03-25', 'time': '17:00:00Z'}","{'date': '2022-03-26', 'time': '14:00:00Z'}","{'date': '2022-03-26', 'time': '17:00:00Z'}",
2022,3,https://en.wikipedia.org/wiki/2022_Australian_Grand_Prix,Australian Grand Prix,"{'circuitId': 'albert_park', 'url': 'https://en.wikipedia.org/wiki/Albert_Park_Circuit', 'circuitName': 'Albert Park Grand Prix Circuit', 'Location': {'lat': '-37.8497', 'long': '144.968', 'locality': 'Melbourne', 'country': 'Australia'}}",2022-04-10,05:00:00Z,"{'date': '2022-04-08', 'time': '03:00:00Z'}","{'date': '2022-04-08', 'time': '06:00:00Z'}","{'date': '2022-04-09', 'time': '03:00:00Z'}","{'date': '2022-04-09', 'time': '06:00:00Z'}",
2022,4,https://en.wikipedia.org/wiki/2022_Emilia_Romagna_Grand_Prix,Emilia Romagna Grand Prix,"{'circuitId': 'imola', 'url': 'https://en.wikipedia.org/wiki/Imola_Circuit', 'circuitName': 'Autodromo Enzo e Dino Ferrari', 'Location': {'lat': '44.343899999999984', 'long': '11.7167', 'locality': 'Imola', 'country': 'Italy'}}",2022-04-24,13:00:00Z,"{'date': '2022-04-22', 'time': '11:30:00Z'}","{'date': '2022-04-23', 'time': '10:30:00Z'}",,"{'date': '2022-04-22', 'time': '15:00:00Z'}","{'date': '2022-04-23', 'time': '14:30:00Z'}"
2022,5,https://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,Miami Grand Prix,"{'circuitId': 'miami', 'url': 'https://en.wikipedia.org/wiki/Miami_International_Autodrome', 'circuitName': 'Miami International Autodrome', 'Location': {'lat': '25.9581', 'long': '-80.2389', 'locality': 'Miami', 'country': 'USA'}}",2022-05-08,19:30:00Z,"{'date': '2022-05-06', 'time': '18:30:00Z'}","{'date': '2022-05-06', 'time': '21:30:00Z'}","{'date': '2022-05-07', 'time': '17:00:00Z'}","{'date': '2022-05-07', 'time': '20:00:00Z'}",
2022,6,https://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,Spanish Grand Prix,"{'circuitId': 'catalunya', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya', 'circuitName': 'Circuit de Barcelona-Catalunya', 'Location': {'lat': '41.57', 'long': '2.26111', 'locality': 'Montmeló', 'country': 'Spain'}}",2022-05-22,13:00:00Z,"{'date': '2022-05-20', 'time': '12:00:00Z'}","{'date': '2022-05-20', 'time': '15:00:00Z'}","{'date': '2022-05-21', 'time': '11:00:00Z'}","{'date': '2022-05-21', 'time': '14:00:00Z'}",
2022,7,https://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,Monaco Grand Prix,"{'circuitId': 'monaco', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Monaco', 'circuitName': 'Circuit de Monaco', 'Location': {'lat': '43.7347', 'long': '7.42056', 'locality': 'Monte-Carlo', 'country': 'Monaco'}}",2022-05-29,13:00:00Z,"{'date': '2022-05-27', 'time': '12:00:00Z'}","{'date': '2022-05-27', 'time': '15:00:00Z'}","{'date': '2022-05-28', 'time': '11:00:00Z'}","{'date': '2022-05-28', 'time': '14:00:00Z'}",
2022,8,https://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,Azerbaijan Grand Prix,"{'circuitId': 'baku', 'url': 'https://en.wikipedia.org/wiki/Baku_City_Circuit', 'circuitName': 'Baku City Circuit', 'Location': {'lat': '40.3725', 'long': '49.8533', 'locality': 'Baku', 'country': 'Azerbaijan'}}",2022-06-12,11:00:00Z,"{'date': '2022-06-10', 'time': '11:00:00Z'}","{'date': '2022-06-10', 'time': '14:00:00Z'}","{'date': '2022-06-11', 'time': '11:00:00Z'}","{'date': '2022-06-11', 'time': '14:00:00Z'}",
2022,9,https://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix,Canadian Grand Prix,"{'circuitId': 'villeneuve', 'url': 'https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve', 'circuitName': 'Circuit Gilles Villeneuve', 'Location': {'lat': '45.5', 'long': '-73.5228', 'locality': 'Montreal', 'country': 'Canada'}}",2022-06-19,18:00:00Z,"{'date': '2022-06-17', 'time': '18:00:00Z'}","{'date': '2022-06-17', 'time': '21:00:00Z'}","{'date': '2022-06-18', 'time': '17:00:00Z'}","{'date': '2022-06-18', 'time': '20:00:00Z'}",
2022,10,https://en.wikipedia.org/wiki/2022_British_Grand_Prix,British Grand Prix,"{'circuitId': 'silverstone', 'url': 'https://en.wikipedia.org/wiki/Silverstone_Circuit', 'circuitName': 'Silverstone Circuit', 'Location': {'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}}",2022-07-03,14:00:00Z,"{'date': '2022-07-01', 'time': '12:00:00Z'}","{'date': '2022-07-01', 'time': '15:00:00Z'}","{'date': '2022-07-02', 'time': '11:00:00Z'}","{'date': '2022-07-02', 'time': '14:00:00Z'}",
