season,url
1990,https://en.wikipedia.org/wiki/1990_Formula_One_World_Championship
1991,https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship
1992,https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship
1993,https://en.wikipedia.org/wiki/1993_Formula_One_World_Championship
1994,https://en.wikipedia.org/wiki/1994_Formula_One_World_Championship
1995,https://en.wikipedia.org/wiki/1995_Formula_One_World_Championship
1996,https://en.wikipedia.org/wiki/1996_Formula_One_World_Championship
1997,https://en.wikipedia.org/wiki/1997_Formula_One_World_Championship
1998,https://en.wikipedia.org/wiki/1998_Formula_One_World_Championship
1999,https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship
2000,https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship
2001,https://en.wikipedia.org/wiki/2001_Formula_One_World_Championship
2002,https://en.wikipedia.org/wiki/2002_Formula_One_World_Championship
2003,https://en.wikipedia.org/wiki/2003_Formula_One_World_Championship
2004,https://en.wikipedia.org/wiki/2004_Formula_One_World_Championship
2005,https://en.wikipedia.org/wiki/2005_Formula_One_World_Championship
2006,https://en.wikipedia.org/wiki/2006_Formula_One_World_Championship
2007,https://en.wikipedia.org/wiki/2007_Formula_One_World_Championship
2008,https://en.wikipedia.org/wiki/2008_Formula_One_World_Championship
2009,https://en.wikipedia.org/wiki/2009_Formula_One_World_Championship
2010,https://en.wikipedia.org/wiki/2010_Formula_One_World_Championship
2011,https://en.wikipedia.org/wiki/2011_Formula_One_World_Championship
2012,https://en.wikipedia.org/wiki/2012_Formula_One_World_Championship
2013,https://en.wikipedia.org/wiki/2013_Formula_One_World_Championship
2014,https://en.wikipedia.org/wiki/2014_Formula_One_World_Championship
2015,https://en.wikipedia.org/wiki/2015_Formula_One_World_Championship
2016,https://en.wikipedia.org/wiki/2016_Formula_One_World_Championship
2017,https://en.wikipedia.org/wiki/2017_Formula_One_World_Championship
2018,https://en.wikipedia.org/wiki/2018_Formula_One_World_Championship
2019,https://en.wikipedia.org/wiki/2019_Formula_One_World_Championship
